CMDLINE /usr/bin/python3.5 cancamb_lens.py
MEM 351.503906 1558728507.4814
MEM 351.503906 1558728507.5822
MEM 351.503906 1558728507.6831
MEM 351.503906 1558728507.7841
MEM 351.503906 1558728507.8852
MEM 351.503906 1558728507.9862
MEM 351.503906 1558728508.0872
MEM 351.503906 1558728508.1881
MEM 351.503906 1558728508.2891
MEM 351.503906 1558728508.3899
MEM 351.503906 1558728508.4915
MEM 351.503906 1558728508.5925
MEM 351.503906 1558728508.6934
MEM 351.503906 1558728508.7942
MEM 351.503906 1558728508.8946
MEM 351.503906 1558728508.9950
MEM 351.503906 1558728509.1048
MEM 351.503906 1558728509.2128
MEM 351.503906 1558728509.3208
MEM 351.503906 1558728509.4288
MEM 351.503906 1558728509.5328
MEM 351.503906 1558728509.6368
MEM 351.503906 1558728509.7448
MEM 351.503906 1558728509.8528
MEM 351.503906 1558728509.9568
MEM 351.503906 1558728510.0608
MEM 351.503906 1558728510.1688
MEM 351.503906 1558728510.2768
MEM 351.503906 1558728510.3848
MEM 351.503906 1558728510.4852
MEM 351.503906 1558728510.5929
MEM 351.503906 1558728510.6938
MEM 351.503906 1558728510.7942
MEM 351.503906 1558728510.8968
MEM 351.503906 1558728511.0048
MEM 351.503906 1558728511.1052
MEM 351.503906 1558728511.2055
MEM 351.503906 1558728511.3128
MEM 351.503906 1558728511.4169
MEM 351.503906 1558728511.5248
MEM 351.503906 1558728511.6252
MEM 351.503906 1558728511.7328
MEM 351.503906 1558728511.8332
MEM 351.503906 1558728511.9408
MEM 351.503906 1558728512.0412
MEM 351.503906 1558728512.1448
MEM 351.503906 1558728512.2568
MEM 351.503906 1558728512.3572
MEM 351.503906 1558728512.4576
MEM 351.503906 1558728512.5580
MEM 351.503906 1558728512.6608
MEM 351.503906 1558728512.7649
MEM 351.503906 1558728512.8653
MEM 351.503906 1558728512.9657
MEM 351.503906 1558728513.0728
MEM 351.503906 1558728513.1769
MEM 351.503906 1558728513.2773
MEM 351.503906 1558728513.3777
MEM 351.503906 1558728513.4780
MEM 351.503906 1558728513.5784
MEM 351.503906 1558728513.6788
MEM 351.503906 1558728513.7849
MEM 351.503906 1558728513.8928
MEM 351.503906 1558728513.9932
MEM 351.503906 1558728514.0936
MEM 351.503906 1558728514.2007
MEM 351.503906 1558728514.3010
MEM 351.503906 1558728514.4014
MEM 351.503906 1558728514.5088
MEM 351.503906 1558728514.6168
MEM 351.503906 1558728514.7172
MEM 351.503906 1558728514.8239
MEM 351.503906 1558728514.9288
MEM 351.503906 1558728515.0328
MEM 351.503906 1558728515.1369
MEM 351.503906 1558728515.2408
MEM 351.503906 1558728515.3412
MEM 351.503906 1558728515.4488
MEM 351.503906 1558728515.5528
MEM 351.503906 1558728515.6568
MEM 351.503906 1558728515.7814
MEM 351.503906 1558728515.8888
MEM 351.503906 1558728515.9968
MEM 351.503906 1558728516.0972
MEM 351.503906 1558728516.2088
MEM 351.503906 1558728516.3092
MEM 351.503906 1558728516.4097
MEM 351.503906 1558728516.5109
MEM 351.503906 1558728516.6160
MEM 351.503906 1558728516.7163
MEM 351.503906 1558728516.8167
MEM 351.503906 1558728516.9171
MEM 351.503906 1558728517.0288
MEM 351.503906 1558728517.1292
MEM 351.503906 1558728517.2369
MEM 351.503906 1558728517.3448
