#Teff log_g M_div_h F606W F814W 
3789.4737 1.8421053 0.5 -1.066 0.501
4052.6316 1.8421053 -2.5 -0.491 0.582
4052.6316 1.8421053 -2.0714286 -0.495 0.562
4052.6316 1.8421053 -1.6428571 -0.495 0.551
4052.6316 1.8421053 -1.2142857 -0.492 0.549
4052.6316 1.8421053 -0.78571429 -0.487 0.555
4052.6316 1.8421053 -0.35714286 -0.489 0.563
4052.6316 1.8421053 0.071428571 -0.497 0.581
6684.2105 0 -1.2142857 0.145 0.469
4052.6316 1.8421053 0.5 -0.534 0.603
4315.7895 1.8421053 -2.5 -0.319 0.642
4315.7895 1.8421053 -2.0714286 -0.317 0.628
4315.7895 1.8421053 -1.6428571 -0.313 0.619
4315.7895 1.8421053 -1.2142857 -0.306 0.618
4315.7895 1.8421053 -0.78571429 -0.295 0.623
4315.7895 1.8421053 -0.35714286 -0.286 0.63
4315.7895 1.8421053 0.071428571 -0.274 0.648
4315.7895 1.8421053 0.5 -0.273 0.666
4578.9474 1.8421053 -2.5 -0.196 0.664
6684.2105 0 -0.78571429 0.165 0.489
4578.9474 1.8421053 -2.0714286 -0.191 0.66
4578.9474 1.8421053 -1.6428571 -0.184 0.657
4578.9474 1.8421053 -1.2142857 -0.173 0.659
4578.9474 1.8421053 -0.78571429 -0.159 0.666
4578.9474 1.8421053 -0.35714286 -0.145 0.673
4578.9474 1.8421053 0.071428571 -0.125 0.691
4578.9474 1.8421053 0.5 -0.112 0.71
4842.1053 1.8421053 -2.5 -0.114 0.656
4842.1053 1.8421053 -2.0714286 -0.106 0.662
4842.1053 1.8421053 -1.6428571 -0.095 0.667
6684.2105 0 -0.35714286 0.177 0.506
4842.1053 1.8421053 -1.2142857 -0.081 0.675
4842.1053 1.8421053 -0.78571429 -0.064 0.685
4842.1053 1.8421053 -0.35714286 -0.046 0.696
4842.1053 1.8421053 0.071428571 -0.022 0.716
4842.1053 1.8421053 0.5 -0.001 0.737
5105.2632 1.8421053 -2.5 -0.056 0.636
5105.2632 1.8421053 -2.0714286 -0.047 0.644
5105.2632 1.8421053 -1.6428571 -0.034 0.654
5105.2632 1.8421053 -1.2142857 -0.017 0.668
5105.2632 1.8421053 -0.78571429 0.003 0.683
6684.2105 0 0.071428571 0.19 0.515
5105.2632 1.8421053 -0.35714286 0.023 0.698
5105.2632 1.8421053 0.071428571 0.051 0.722
5105.2632 1.8421053 0.5 0.076 0.747
5368.4211 1.8421053 -2.5 -0.012 0.61
5368.4211 1.8421053 -2.0714286 -0.004 0.618
5368.4211 1.8421053 -1.6428571 0.009 0.629
5368.4211 1.8421053 -1.2142857 0.028 0.645
5368.4211 1.8421053 -0.78571429 0.05 0.664
5368.4211 1.8421053 -0.35714286 0.073 0.683
