# Isochrone by Pietrinferni - Cassisi - Salaris - Castelli 2006 ::: Standard Model 
#===========================================================================================================================
# Scaled solar model & transformations for ACS            (Castelli 2004)
#===========================================================================================================================
#  Np= 2000   [M/H]=-1.790   Z= 0.0003   Y=0.245   t(Gyr)= 13.3200    normalized:  3  2 2006 
#===========================================================================================================================
#     (M/Mo)in       (M/Mo)     log(L/Lo)  logTe     F435W   F475W   F555W   F606W   F625W   F775W   F814W
#===========================================================================================================================
   0.5611380629   0.5611380629  -0.81117  3.70264    7.866   7.530   7.078   6.836   6.608   6.152   6.093
   0.5618746661   0.5618746661  -0.80792  3.70312    7.854   7.519   7.068   6.827   6.600   6.144   6.085
   0.5626112693   0.5626112693  -0.80467  3.70360    7.842   7.508   7.058   6.818   6.591   6.137   6.078
   0.5633478724   0.5633478724  -0.80142  3.70409    7.830   7.497   7.048   6.809   6.582   6.129   6.070
   0.5640844756   0.5640844756  -0.79817  3.70457    7.818   7.486   7.039   6.800   6.574   6.121   6.062
   0.5648210788   0.5648210788  -0.79492  3.70506    7.806   7.475   7.029   6.791   6.565   6.113   6.055
   0.5655576819   0.5655576819  -0.79167  3.70554    7.794   7.465   7.019   6.782   6.556   6.106   6.047
   0.5662942851   0.5662942851  -0.78841  3.70602    7.782   7.454   7.010   6.773   6.548   6.098   6.039
   0.5670308883   0.5670308883  -0.78516  3.70651    7.770   7.443   7.000   6.764   6.539   6.090   6.032
   0.5677674914   0.5677674914  -0.78191  3.70699    7.758   7.432   6.990   6.755   6.531   6.082   6.024
   0.5685040946   0.5685040946  -0.77866  3.70748    7.746   7.422   6.981   6.746   6.522   6.075   6.017
   0.5692406978   0.5692406978  -0.77541  3.70796    7.734   7.411   6.971   6.737   6.513   6.067   6.009
   0.5699773009   0.5699773009  -0.77216  3.70844    7.723   7.400   6.961   6.727   6.505   6.059   6.002
   0.5707139041   0.5707139041  -0.76890  3.70893    7.711   7.390   6.952   6.718   6.496   6.052   5.994
   0.5714505073   0.5714505073  -0.76565  3.70941    7.699   7.379   6.942   6.710   6.488   6.044   5.986
   0.5721871104   0.5721871104  -0.76240  3.70989    7.687   7.368   6.933   6.701   6.479   6.036   5.979
   0.5729237136   0.5729237136  -0.75915  3.71038    7.675   7.358   6.923   6.692   6.471   6.029   5.971
   0.5736603168   0.5736603168  -0.75589  3.71086    7.663   7.347   6.914   6.683   6.462   6.021   5.964
   0.5743969200   0.5743969200  -0.75264  3.71134    7.652   7.336   6.904   6.674   6.454   6.013   5.956
   0.5751335231   0.5751335231  -0.74938  3.71183    7.640   7.326   6.895   6.665   6.445   6.006   5.949
