# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Thu Mar 12 11:40:30 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: HST/ACS WFC
# Attention: photometry includes extinction of Av=0.31, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F502Nmag  F550Mmag  F555Wmag  F606Wmag  F625Wmag  F658Nmag  F660Nmag  F775Wmag  F814Wmag  F850LPmag
0.00027635 -1.75000 10.11400 0.6748329401 2.3654460907    0.675 -0.252  3.7722  4.559    1  0.000  0.542     0.00     0.00 -1  -2.7e-15      0.00 8.296e-01 1.702e-01 3.940e-05 1.067e-05 9.700e-05 -1.000 2.128e-04 5.399 6.446 6.209 6.059 5.761 5.869 5.647 5.473 5.254 5.317 5.080 5.022 4.875
0.00027635 -1.75000 10.11400 0.6844465733 2.3703382015    0.684 -0.201  3.7772  4.535    1  0.000  0.541     0.00     0.00 -1 -7.38e-19      0.00 8.349e-01 1.649e-01 3.842e-05 1.041e-05 9.466e-05 -1.000 2.241e-04 5.273 6.298 6.070 5.924 5.633 5.738 5.522 5.352 5.136 5.199 4.967 4.911 4.767
0.00027635 -1.75000 10.11400 0.6933829784 2.3747460842    0.693 -0.152  3.7818  4.510    1  0.000  0.541     0.00     0.00 -1 -4.33e-16      0.00 8.401e-01 1.597e-01 3.746e-05 1.015e-05 9.237e-05 -1.000 2.357e-04 5.150 6.157 5.935 5.794 5.509 5.612 5.401 5.235 5.022 5.084 4.857 4.802 4.661
0.00027635 -1.75000 10.11400 0.6999999881 2.3779268265    0.700 -0.114  3.7852  4.490    1  0.000  0.540     0.00     0.00 -1 -6.54e-14      0.00 8.442e-01 1.556e-01 3.671e-05 9.951e-06 9.057e-05 -1.000 2.353e-04 5.056 6.048 5.832 5.693 5.414 5.515 5.308 5.144 4.934 4.996 4.771 4.718 4.579
0.00027635 -1.75000 10.11400 0.7033201456 2.3794968128    0.703 -0.095  3.7868  4.479    1  0.000  0.540     0.00     0.00 -1 -6.91e-14      0.00 8.461e-01 1.536e-01 3.631e-05 9.854e-06 8.970e-05 -1.000 2.309e-04 5.007 5.993 5.779 5.642 5.365 5.465 5.260 5.097 4.889 4.950 4.727 4.674 4.537
0.00027635 -1.75000 10.11400 0.7114925385 2.3832895756    0.711 -0.044  3.7907  4.449    1  0.000  0.538     0.00     0.00 -1 -7.98e-14      0.00 8.508e-01 1.490e-01 3.538e-05 9.624e-06 8.769e-05 -1.000 1.940e-04 4.881 5.850 5.643 5.508 5.237 5.335 5.135 4.975 4.770 4.830 4.612 4.560 4.425
0.00027635 -1.75000 10.11400 0.7185117602 2.3864681721    0.718  0.002  3.7940  4.421    1  0.000  0.536     0.00     0.00 -1 -9.12e-14      0.00 8.545e-01 1.453e-01 3.465e-05 9.449e-06 8.615e-05 -1.000 1.925e-04 4.766 5.722 5.519 5.387 5.121 5.218 5.021 4.863 4.662 4.721 4.506 4.455 4.323
0.00027635 -1.75000 10.11400 0.7253122330 2.3894801140    0.725  0.049  3.7971  4.390    1  0.000  0.535     0.00     0.00 -1 -2.23e-15      0.00 8.577e-01 1.421e-01 3.401e-05 9.295e-06 8.480e-05 -1.000 2.221e-04 4.648 5.591 5.393 5.264 5.002 5.097 4.903 4.748 4.550 4.608 4.396 4.346 4.216
0.00027635 -1.75000 10.11400 0.7321133018 2.3924283981    0.732  0.099  3.8000  4.355    1  0.000  0.533     0.00     0.00 -1 -1.37e-19      0.00 8.607e-01 1.391e-01 3.343e-05 9.156e-06 8.359e-05 -1.000 2.187e-04 4.523 5.453 5.259 5.132 4.875 4.968 4.778 4.625 4.429 4.487 4.278 4.228 4.101
0.00027635 -1.75000 10.11400 0.7399721146 2.3957574368    0.739  0.162  3.8031  4.309    1  0.000  0.531     0.00     0.00 -1 -6.89e-17      0.00 8.639e-01 1.359e-01 3.284e-05 9.016e-06 8.237e-05 -1.000 1.995e-04 4.365 5.282 5.093 4.968 4.715 4.807 4.620 4.470 4.277 4.334 4.128 4.079 3.954
0.00027635 -1.75000 10.11400 0.7473176718 2.3987963200    0.747  0.227  3.8055  4.258    1  0.000  0.530     0.00     0.00 -1 -2.32e-14      0.00 8.665e-01 1.334e-01 3.235e-05 8.903e-06 8.141e-05 -1.000 1.706e-04 4.203 5.109 4.923 4.799 4.551 4.641 4.458 4.309 4.119 4.176 3.971 3.924 3.800
0.00027635 -1.75000 10.11400 0.7500000000 2.3998889923    0.749  0.252  3.8062  4.238    1  0.000  0.529     0.00     0.00 -1 -1.96e-13      0.00 8.673e-01 1.325e-01 3.220e-05 8.869e-06 8.112e-05 -1.000 1.705e-04 4.140 5.042 4.857 4.734 4.487 4.577 4.394 4.246 4.057 4.114 3.910 3.863 3.740
0.00027635 -1.75000 10.11400 0.7543790340 2.4016537666    0.753  0.294  3.8074  4.203    1  0.000  0.529     0.00     0.00 -1 -2.24e-13      0.00 8.668e-01 1.330e-01 3.236e-05 8.914e-06 8.153e-05 -1.000 1.733e-04 4.035 4.930 4.747 4.625 4.379 4.469 4.288 4.141 3.953 4.009 3.807 3.760 3.638
0.00027635 -1.75000 10.11400 0.7581243515 2.4031443596    0.757  0.333  3.8080  4.168    1  0.000  0.529     0.00     0.00 -1 -2.55e-13      0.00 8.661e-01 1.338e-01 3.255e-05 8.969e-06 8.204e-05 -1.000 1.764e-04 3.937 4.828 4.645 4.525 4.280 4.369 4.189 4.043 3.855 3.911 3.710 3.663 3.541
0.00027635 -1.75000 10.11400 0.7593522072 2.4036293030    0.758  0.347  3.8079  4.154    1  0.000  0.529     0.00     0.00 -1 -2.68e-13      0.00 8.658e-01 1.340e-01 3.262e-05 8.987e-06 8.220e-05 -1.000 1.773e-04 3.902 4.792 4.610 4.489 4.245 4.334 4.154 4.007 3.820 3.876 3.675 3.628 3.506
0.00027635 -1.75000 10.11400 0.7641150355 2.4054939747    0.763  0.405  3.8066  4.094    1  0.000  0.529     0.00     0.00 -1 -3.25e-13      0.00 8.648e-01 1.350e-01 3.288e-05 9.058e-06 8.286e-05 -1.000 1.808e-04 3.757 4.648 4.465 4.344 4.099 4.188 4.007 3.860 3.671 3.728 3.526 3.479 3.356
0.00027635 -1.75000 10.11400 0.7677257657 2.4068896770    0.767  0.456  3.8038  4.034    1  0.000  0.529     0.00     0.00 -1 -3.91e-13      0.00 8.640e-01 1.358e-01 3.307e-05 9.111e-06 8.335e-05 -1.000 1.834e-04 3.630 4.530 4.344 4.222 3.973 4.063 3.880 3.731 3.539 3.597 3.393 3.345 3.220
0.00027635 -1.75000 10.11400 0.7683404088 2.4071257114    0.767  0.465  3.8030  4.022    1  0.000  0.529     0.00     0.00 -1 -4.07e-13      0.00 8.639e-01 1.359e-01 3.310e-05 9.120e-06 8.343e-05 -1.000 1.838e-04 3.607 4.508 4.322 4.199 3.949 4.040 3.856 3.707 3.514 3.572 3.368 3.319 3.194
0.00027635 -1.75000 10.11400 0.7689749599 2.4073688984    0.768  0.476  3.8020  4.007    1  0.000  0.529     0.00     0.00 -1 -4.24e-13      0.00 8.638e-01 1.360e-01 3.314e-05 9.130e-06 8.352e-05 -1.000 1.842e-04 3.580 4.485 4.298 4.174 3.923 4.015 3.829 3.679 3.485 3.544 3.339 3.290 3.164
0.00027635 -1.75000 10.11400 0.7711077929 2.4081833363    0.770  0.515  3.7972  3.951    2  0.000  0.529     0.00     0.00 -1 -4.92e-13      0.00 8.633e-01 1.365e-01 3.325e-05 9.161e-06 8.381e-05 -1.000 1.857e-04 3.483 4.404 4.211 4.085 3.828 3.921 3.731 3.578 3.380 3.439 3.230 3.180 3.051
0.00027635 -1.75000 10.11400 0.7727385759 2.4088025093    0.771  0.549  3.7914  3.894    2  0.000  0.529     0.00     0.00 -1 -5.68e-13      0.00 8.625e-01 1.374e-01 3.353e-05 9.239e-06 8.452e-05 -1.000 1.869e-04 3.397 4.339 4.139 4.009 3.745 3.840 3.644 3.488 3.283 3.345 3.131 3.079 2.946
0.00027635 -1.75000 10.11400 0.7740151286 2.4092850685    0.773  0.580  3.7845  3.836    2  0.000  0.529     0.00     0.00 -1 -6.52e-13      0.00 8.599e-01 1.399e-01 3.432e-05 9.454e-06 8.647e-05 -1.000 2.055e-04 3.319 4.287 4.078 3.944 3.670 3.769 3.566 3.405 3.194 3.257 3.037 2.983 2.845
0.00027635 -1.75000 10.11400 0.7750438452 2.4096727371    0.774  0.609  3.7772  3.779    2  0.000  0.530     0.00     0.00 -1 -7.42e-13      0.00 8.483e-01 1.515e-01 3.711e-05 1.021e-05 9.334e-05 -1.000 2.209e-04 3.249 4.246 4.027 3.888 3.605 3.707 3.496 3.330 3.112 3.177 2.950 2.894 2.751
0.00027635 -1.75000 10.11400 0.7759066224 2.4099967480    0.774  0.635  3.7699  3.724    2  0.000  0.531     0.00     0.00 -1 -8.39e-13      0.00 8.278e-01 1.719e-01 4.105e-05 1.128e-05 1.029e-04 -1.000 2.321e-04 3.183 4.211 3.982 3.838 3.545 3.650 3.431 3.260 3.038 3.104 2.869 2.811 2.662
0.00027635 -1.75000 10.11400 0.7766674757 2.4102818966    0.775  0.662  3.7628  3.669    2  0.000  0.534     0.00     0.00 -1 -1.51e-14      0.00 8.050e-01 1.948e-01 4.479e-05 1.228e-05 1.119e-04 -1.000 2.399e-04 3.116 4.176 3.936 3.787 3.484 3.593 3.366 3.190 2.962 3.029 2.787 2.727 2.573
0.00027635 -1.75000 10.11400 0.7773422599 2.4105343819    0.776  0.691  3.7562  3.613    2  0.000  0.535     0.00     0.00 -1 -1.66e-15      0.00 7.900e-01 2.098e-01 4.727e-05 1.294e-05 1.178e-04 -1.000 2.343e-04 3.042 4.133 3.883 3.729 3.416 3.528 3.295 3.114 2.881 2.950 2.701 2.639 2.480
0.00027635 -1.75000 10.11400 0.7780103087 2.4107835293    0.776  0.730  3.7503  3.552    2  0.000  0.536     0.00     0.00 -1  -2.3e-15      0.00 7.804e-01 2.193e-01 4.888e-05 1.337e-05 1.216e-04 -1.000 2.746e-04 2.946 4.066 3.807 3.648 3.327 3.442 3.202 3.017 2.779 2.850 2.594 2.530 2.367
0.00027635 -1.75000 10.11400 0.7785375118 2.4109799862    0.777  0.768  3.7463  3.498    2  0.000  0.536     0.00     0.00 -1 -3.05e-15      0.00 7.755e-01 2.242e-01 4.972e-05 1.360e-05 1.236e-04 -1.000 2.857e-04 2.851 3.991 3.726 3.565 3.238 3.355 3.110 2.923 2.682 2.753 2.493 2.428 2.261
0.00027635 -1.75000 10.11400 0.7788978219 2.4111142159    0.777  0.797  3.7439  3.459    2  0.000  0.536     0.00     0.00 -1 -3.73e-15      0.00 7.729e-01 2.269e-01 5.016e-05 1.372e-05 1.247e-04 -1.000 2.706e-04 2.778 3.931 3.661 3.498 3.168 3.286 3.039 2.850 2.607 2.679 2.416 2.351 2.182
0.00027635 -1.75000 10.11400 0.7790618539 2.4111750126    0.777  0.812  3.7430  3.441    3  0.000  0.536     0.00     0.00 -1 -4.11e-15      0.00 7.719e-01 2.278e-01 5.032e-05 1.376e-05 1.251e-04 -1.000 2.443e-04 2.741 3.898 3.627 3.464 3.132 3.251 3.002 2.813 2.570 2.641 2.378 2.312 2.143
0.00027635 -1.75000 10.11400 0.7795020938 2.4113385677    0.778  0.853  3.7408  3.391    3  0.000  0.537     0.00     0.00 -1 -5.31e-15      0.00 7.695e-01 2.302e-01 5.069e-05 1.386e-05 1.260e-04 -1.000 3.022e-04 2.637 3.805 3.531 3.366 3.031 3.151 2.900 2.709 2.464 2.536 2.270 2.204 2.033
