#Teff log_g M_div_h F606W F814W 
4052.6316 1.8421053 -2.0714286 -0.5 0.551
4052.6316 1.8421053 -1.6428571 -0.501 0.546
4052.6316 1.8421053 -1.2142857 -0.501 0.548
4052.6316 1.8421053 -0.78571429 -0.505 0.558
4052.6316 1.8421053 -0.35714286 -0.525 0.573
4052.6316 1.8421053 0.071428571 -0.574 0.594
6684.2105 0 -1.2142857 0.14 0.473
4052.6316 1.8421053 0.5 -0.664 0.621
4315.7895 1.8421053 -2.5 -0.323 0.627
4315.7895 1.8421053 -2.0714286 -0.322 0.615
4315.7895 1.8421053 -1.6428571 -0.319 0.611
4315.7895 1.8421053 -1.2142857 -0.314 0.613
4315.7895 1.8421053 -0.78571429 -0.307 0.622
4315.7895 1.8421053 -0.35714286 -0.3 0.637
4315.7895 1.8421053 0.071428571 -0.301 0.657
4315.7895 1.8421053 0.5 -0.321 0.683
4578.9474 1.8421053 -2.5 -0.198 0.656
6684.2105 0 -0.78571429 0.16 0.489
4578.9474 1.8421053 -2.0714286 -0.194 0.651
4578.9474 1.8421053 -1.6428571 -0.188 0.649
4578.9474 1.8421053 -1.2142857 -0.179 0.652
4578.9474 1.8421053 -0.78571429 -0.168 0.662
4578.9474 1.8421053 -0.35714286 -0.154 0.677
4578.9474 1.8421053 0.071428571 -0.142 0.698
4578.9474 1.8421053 0.5 -0.138 0.725
4842.1053 1.8421053 -2.5 -0.113 0.655
4842.1053 1.8421053 -2.0714286 -0.105 0.659
4842.1053 1.8421053 -1.6428571 -0.095 0.662
6684.2105 0 -0.35714286 0.196 0.496
4842.1053 1.8421053 -1.2142857 -0.083 0.668
4842.1053 1.8421053 -0.78571429 -0.068 0.679
4842.1053 1.8421053 -0.35714286 -0.051 0.696
4842.1053 1.8421053 0.071428571 -0.032 0.72
4842.1053 1.8421053 0.5 -0.018 0.75
5105.2632 1.8421053 -2.5 -0.054 0.637
5105.2632 1.8421053 -2.0714286 -0.044 0.645
5105.2632 1.8421053 -1.6428571 -0.031 0.654
5105.2632 1.8421053 -1.2142857 -0.016 0.665
5105.2632 1.8421053 -0.78571429 0.002 0.679
6684.2105 0 0.071428571 0.165 0.499
5105.2632 1.8421053 -0.35714286 0.023 0.697
5105.2632 1.8421053 0.071428571 0.046 0.723
5105.2632 1.8421053 0.5 0.066 0.757
5368.4211 1.8421053 -2.5 -0.011 0.611
5368.4211 1.8421053 -2.0714286 -0.001 0.62
5368.4211 1.8421053 -1.6428571 0.014 0.632
5368.4211 1.8421053 -1.2142857 0.032 0.646
5368.4211 1.8421053 -0.78571429 0.053 0.663
5368.4211 1.8421053 -0.35714286 0.077 0.684
5368.4211 1.8421053 0.071428571 0.102 0.712
6684.2105 0 0.5 0.244 0.56
5368.4211 1.8421053 0.5 0.127 0.748
5631.5789 1.8421053 -2.5 0.024 0.582
3263.1579 0 -1.2142857 -2.708 0.06
5631.5789 1.8421053 -2.0714286 0.033 0.59
5631.5789 1.8421053 -1.6428571 0.047 0.601
5631.5789 1.8421053 -1.2142857 0.066 0.617
5631.5789 1.8421053 -0.78571429 0.089 0.637
5631.5789 1.8421053 -0.35714286 0.116 0.66
5631.5789 1.8421053 0.071428571 0.144 0.689
5631.5789 1.8421053 0.5 0.172 0.725
5894.7368 1.8421053 -2.5 0.051 0.549
5894.7368 1.8421053 -2.0714286 0.06 0.556
6947.3684 0 -2.5 0.132 0.401
5894.7368 1.8421053 -1.6428571 0.073 0.567
5894.7368 1.8421053 -1.2142857 0.092 0.582
5894.7368 1.8421053 -0.78571429 0.115 0.603
5894.7368 1.8421053 -0.35714286 0.144 0.627
5894.7368 1.8421053 0.071428571 0.175 0.657
5894.7368 1.8421053 0.5 0.205 0.694
6157.8947 1.8421053 -2.5 0.073 0.512
6157.8947 1.8421053 -2.0714286 0.082 0.52
